Date/time UTC,Active energy Wh (B),Returned energy Wh (B)
2022-09-18 00:00,28.7,0.0
2022-09-18 00:10,28.4,0.0
2022-09-18 00:20,28.2,0.0
2022-09-18 00:30,16.9,0.0
2022-09-18 00:40,14.7,0.0
2022-09-18 00:50,14.7,0.0
2022-09-18 01:00,14.8,0.0
2022-09-18 01:10,18.6,0.0
2022-09-18 01:20,23.0,0.0
2022-09-18 01:30,28.3,0.0
2022-09-18 01:40,37.5,0.0
2022-09-18 01:50,36.8,0.0
2022-09-18 02:00,34.7,0.0
2022-09-18 02:10,29.3,0.0
2022-09-18 02:20,28.6,0.0
2022-09-18 02:30,28.3,0.0
2022-09-18 02:40,16.8,0.0
2022-09-18 02:50,15.4,0.0
2022-09-18 03:00,15.1,0.0
2022-09-18 03:10,15.4,0.0
2022-09-18 03:20,15.1,0.0
2022-09-18 03:30,15.1,0.0
2022-09-18 03:40,22.5,0.0
2022-09-18 03:50,29.2,0.0
2022-09-18 04:00,30.9,0.0
2022-09-18 04:10,37.5,0.0
2022-09-18 04:20,36.2,0.0
2022-09-18 04:30,138.9,0.0
2022-09-18 04:40,34.3,0.0
2022-09-18 04:50,21.7,0.0
2022-09-18 05:00,14.8,0.0
2022-09-18 05:10,14.7,0.0
2022-09-18 05:20,15.5,0.0
2022-09-18 05:30,15.2,0.0
2022-09-18 05:40,15.1,0.0
2022-09-18 05:50,23.4,0.0
2022-09-18 06:00,29.3,0.0
2022-09-18 06:10,29.0,0.0
2022-09-18 06:20,29.5,0.0
2022-09-18 06:30,28.6,0.0
2022-09-18 06:40,28.4,0.0
2022-09-18 06:50,24.3,0.0
2022-09-18 07:00,22.8,0.0
2022-09-18 07:10,23.2,0.0
2022-09-18 07:20,23.2,0.0
2022-09-18 07:30,32.0,0.0
2022-09-18 07:40,103.1,0.0
2022-09-18 07:50,17.2,0.0
2022-09-18 08:00,27.2,0.0
2022-09-18 08:10,29.3,0.0
2022-09-18 08:20,29.2,0.0
2022-09-18 08:30,28.6,0.0
2022-09-18 08:40,28.2,0.0
2022-09-18 08:50,27.9,0.0
2022-09-18 09:00,20.5,0.0
2022-09-18 09:10,14.8,0.0
2022-09-18 09:20,14.8,0.0
2022-09-18 09:30,15.5,0.0
2022-09-18 09:40,15.2,0.0
2022-09-18 09:50,19.8,0.0
2022-09-18 10:00,23.7,0.0
2022-09-18 10:10,38.0,0.0
2022-09-18 10:20,37.3,0.0
2022-09-18 10:30,37.0,0.0
2022-09-18 10:40,33.8,0.0
2022-09-18 10:50,29.0,0.0
2022-09-18 11:00,28.7,0.0
2022-09-18 11:10,19.6,0.0
2022-09-18 11:20,15.1,0.0
2022-09-18 11:30,15.6,0.0
2022-09-18 11:40,15.2,0.0
2022-09-18 11:50,15.2,0.0
2022-09-18 12:00,15.3,0.0
2022-09-18 12:10,16.9,0.0
2022-09-18 12:20,29.7,0.0
2022-09-18 12:30,29.4,0.0
2022-09-18 12:40,32.2,0.0
2022-09-18 12:50,65.6,0.0
2022-09-18 13:00,35.9,0.0
2022-09-18 13:10,36.0,0.0
2022-09-18 13:20,32.7,0.0
2022-09-18 13:30,21.5,0.0
2022-09-18 13:40,15.5,0.0
2022-09-18 13:50,15.2,0.0
2022-09-18 14:00,15.2,0.0
2022-09-18 14:10,15.4,0.0
2022-09-18 14:20,14.8,0.0
2022-09-18 14:30,25.7,0.0
2022-09-18 14:40,29.8,0.0
2022-09-18 14:50,29.1,0.0
2022-09-18 15:00,28.6,0.0
2022-09-18 15:10,28.2,0.0
2022-09-18 15:20,28.4,0.0
2022-09-18 15:30,30.3,0.0
2022-09-18 15:40,24.8,0.0
2022-09-18 15:50,23.0,0.0
2022-09-18 16:00,22.3,0.0
2022-09-18 16:10,22.1,0.0
2022-09-18 16:20,22.5,0.0
2022-09-18 16:30,16.1,0.0
2022-09-18 16:40,21.4,0.0
2022-09-18 16:50,29.9,0.0
2022-09-18 17:00,29.2,0.0
2022-09-18 17:10,28.7,0.0
2022-09-18 17:20,29.2,0.0
2022-09-18 17:30,28.5,0.0
2022-09-18 17:40,28.4,0.0
2022-09-18 17:50,23.8,0.0
2022-09-18 18:00,15.2,0.0
2022-09-18 18:10,14.7,0.0
2022-09-18 18:20,14.9,0.0
2022-09-18 18:30,23.4,0.0
2022-09-18 18:40,22.8,0.0
2022-09-18 18:50,22.4,0.0
2022-09-18 19:00,36.5,0.0
2022-09-18 19:10,37.1,0.0
2022-09-18 19:20,30.6,0.0
